episode_name_nohomers|episode_link_nohomers|episode_name_norm|episode_name_wikisimpsons|episode_link_wikisimpsons|episode_season
Who Shot Mr Burns? (Part Two)|https://nohomers.net/forums/index.php?threads/r-r-who-shot-mr-burns-part-two.16581/%22|WHOSHOTMRBURNS(PARTTWO)|Who Shot Mr. Burns? (Part Two)|https://simpsonswiki.com/wiki/Who_Shot_Mr._Burns%3F_(Part_Two)|7.0
Radioactive Man|https://nohomers.net/forums/index.php?threads/rate-review-radioactive-man.18882/|RADIOACTIVEMAN|Radioactive Man|https://simpsonswiki.com/wiki/Radioactive_Man|7.0
Home Sweet Home Diddly-Dum-Doodily|https://nohomers.net/forums/index.php?threads/r-r-home-sweet-homediddly-dum-doodily.21937/|HOMESWEETHOMEDIDDLYDUMDOODILY|Home Sweet Homediddly-Dum-Doodily|https://simpsonswiki.com/wiki/Home_Sweet_Homediddly-Dum-Doodily|7.0
Bart Sells His Soul|https://nohomers.net/forums/index.php?threads/bart-sells-his-soul.19033/|BARTSELLSHISSOUL|Bart Sells His Soul|https://simpsonswiki.com/wiki/Bart_Sells_His_Soul|7.0
Lisa The Vegetarian|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-vegetarian.15942/|LISAVEGETARIAN|Lisa the Vegetarian|https://simpsonswiki.com/wiki/Lisa_the_Vegetarian|7.0
Treehouse Of Horror VI|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-vi.18728/|TREEHOUSEOFHORRORVI|Treehouse of Horror VI|https://simpsonswiki.com/wiki/Treehouse_of_Horror_VI|7.0
King Size Homer|https://nohomers.net/forums/index.php?threads/rate-and-review-king-size-homer.10968/|KINGSIZEHOMER|King-Size Homer|https://simpsonswiki.com/wiki/King-Size_Homer|7.0
Mother Simpson|https://nohomers.net/forums/index.php?threads/r-r-mother-simpson.18122/|MORSIMPSON|Mother Simpson|https://simpsonswiki.com/wiki/Mother_Simpson|7.0
Sideshow Bob's Last Gleaming|https://nohomers.net/forums/index.php?threads/r-r-sideshow-bobs-last-gleaming.23492/|SIDESHOWBOBSLASTGLEAMING|Sideshow Bob's Last Gleaming|https://simpsonswiki.com/wiki/Sideshow_Bob%27s_Last_Gleaming|7.0
The Simpsons 138th Episode Spectacular|https://nohomers.net/forums/index.php?threads/rate-and-review-simpsons-138th-episode-spectacular.13677/|SIMPSON138THEPISODESPECTACULAR|The Simpsons 138th Episode Spectacular|https://simpsonswiki.com/wiki/The_Simpsons_138th_Episode_Spectacular|7.0
Marge Be Not Proud|https://nohomers.net/forums/index.php?threads/r-r-marge-be-not-proud.17700/|MARGEBENOTPROUD|Marge Be Not Proud|https://simpsonswiki.com/wiki/Marge_Be_Not_Proud|7.0
Team Homer|https://nohomers.net/forums/index.php?threads/rate-review-team-homer.11715/|TEAMHOMER|Team Homer|https://simpsonswiki.com/wiki/Team_Homer|7.0
Two Bad Neighbours|https://nohomers.net/forums/index.php?threads/r-r-two-bad-neighbours.16763/|TWOBADNEIGHBOURS|||
Scenes From the Class Struggle in Springfield|https://nohomers.net/forums/index.php?threads/r-r-scenes-from-the-class-struggle-in-springfield.19503/|SCENESFROMCLASSSTRUGGLEINSPRINGFIELD|Scenes from the Class Struggle in Springfield|https://simpsonswiki.com/wiki/Scenes_from_the_Class_Struggle_in_Springfield|7.0
Bart the Fink|https://nohomers.net/forums/index.php?threads/r-r-bart-the-fink.16737/|BARTFINK|Bart the Fink|https://simpsonswiki.com/wiki/Bart_the_Fink|7.0
Lisa the Iconoclast|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-iconoclast.18583/|LISAICONOCLAST|Lisa the Iconoclast|https://simpsonswiki.com/wiki/Lisa_the_Iconoclast|7.0
Homer the Smithers|https://nohomers.net/forums/index.php?threads/r-r-homer-the-smithers.16473/|HOMERSMIRS|Homer the Smithers|https://simpsonswiki.com/wiki/Homer_the_Smithers|7.0
The Day The Violence Died|https://nohomers.net/forums/index.php?threads/rate-and-review-the-day-violence-died.18787/|DAYVIOLENCEDIED|The Day the Violence Died|https://simpsonswiki.com/wiki/The_Day_the_Violence_Died|7.0
A Fish Caled Selma|https://nohomers.net/forums/index.php?threads/rate-review-a-fish-called-selma.18887/|AFISHCALEDSELMA|||
Bart on the Road|https://nohomers.net/forums/index.php?threads/r-r-bart-on-the-road.17796/|BARTONROAD|Bart on the Road|https://simpsonswiki.com/wiki/Bart_on_the_Road|7.0
22 Short Films About Springfield|https://nohomers.net/forums/index.php?threads/rate-review-22-short-films-about-springfield.17912/|22SHORTFILMSABOUTSPRINGFIELD|22 Short Films About Springfield|https://simpsonswiki.com/wiki/22_Short_Films_About_Springfield|7.0
"Raging Abe Simpson and his Grumbling Grandson in ""The Curse of the Flying Helfish"""|https://nohomers.net/forums/index.php?threads/r-r-raging-abe-simpson-and-his-grumbling-grandson-in-curse-of-the-flying-hellfish.22400/|RAGINGABESIMPSONHISGRUMBLINGGRSONINCURSEOFFLYINGHELFISH|||
Much Apu About Nothing|https://nohomers.net/forums/index.php?threads/r-r-much-apu-about-nothing.22983/|MUCHAPUABOUTNOTHING|Much Apu About Nothing|https://simpsonswiki.com/wiki/Much_Apu_About_Nothing|7.0
Homerpalooza|https://nohomers.net/forums/index.php?threads/rate-review-homerpalooza.11120/|HOMERPALOOZA|Homerpalooza|https://simpsonswiki.com/wiki/Homerpalooza|7.0
Summer of 4ft 2|https://nohomers.net/forums/index.php?threads/rate-and-review-summer-of-the-4-2.23092/|SUMMEROF4FT2|Summer of 4 Ft. 2|https://simpsonswiki.com/wiki/Summer_of_4_Ft._2|7.0
Treehouse Of Horror VII|https://nohomers.net/forums/index.php?threads/rate-and-review-treehouse-of-horror-vii.20163/|TREEHOUSEOFHORRORVII|Treehouse of Horror VII|https://simpsonswiki.com/wiki/Treehouse_of_Horror_VII|8.0
You Only Move Twice|https://nohomers.net/forums/index.php?threads/r-r-you-only-move-twice.18199/|YOUONLYMOVETWICE|You Only Move Twice|https://simpsonswiki.com/wiki/You_Only_Move_Twice|8.0
The Homer They Fall|https://nohomers.net/forums/index.php?threads/r-r-homer-they-fall.16774/|HOMERYFALL|The Homer They Fall|https://simpsonswiki.com/wiki/The_Homer_They_Fall|8.0
Burns, Baby Burns|https://nohomers.net/forums/index.php?threads/rate-and-review-burns-baby-burns.18429/|BURNSBABYBURNS|Burns, Baby Burns|https://simpsonswiki.com/wiki/Burns,_Baby_Burns|8.0
Bart After Dark|https://nohomers.net/forums/index.php?threads/rate-review-bart-after-dark.22816/|BARTAFTERDARK|Bart After Dark|https://simpsonswiki.com/wiki/Bart_After_Dark|8.0
A Milhouse Divided|https://nohomers.net/forums/index.php?threads/rate-and-review-a-milhouse-divided.18307/|AMILHOUSEDIVIDED|A Milhouse Divided|https://simpsonswiki.com/wiki/A_Milhouse_Divided|8.0
Lisa's Date With Density|https://nohomers.net/forums/index.php?threads/r-r-lisas-date-with-density.20126/|LISASDATEWITHDENSITY|Lisa's Date with Density|https://simpsonswiki.com/wiki/Lisa%27s_Date_with_Density|8.0
Hurricane Neddy|https://nohomers.net/forums/index.php?threads/r-r-hurricane-neddy.18801/|HURRICANENEDDY|Hurricane Neddy|https://simpsonswiki.com/wiki/Hurricane_Neddy|8.0
El Viaje Misterioso de Nuestro Jomer|https://nohomers.net/forums/index.php?threads/r-r-el-viaje-misterioso-du-nuestro-jomer.16018/|ELVIAJEMISTERIOSODENUESTROJOMER|El Viaje Misterioso de Nuestro Jomer|https://simpsonswiki.com/wiki/El_Viaje_Misterioso_de_Nuestro_Jomer|8.0
The Springfield Files|https://nohomers.net/forums/index.php?threads/rate-review-the-springfield-files.5700/|SPRINGFIELDFILES|The Springfield Files|https://simpsonswiki.com/wiki/The_Springfield_Files|8.0
The Twisted World of Marge Simpson|https://nohomers.net/forums/index.php?threads/rate-review-the-twisted-world-of-marge-simpson.21931/|TWISTEDWORLDOFMARGESIMPSON|The Twisted World of Marge Simpson|https://simpsonswiki.com/wiki/The_Twisted_World_of_Marge_Simpson|8.0
Mountain of Madness|https://nohomers.net/forums/index.php?threads/r-r-mountain-of-madness.21276/|MOUNTAINOFMADNESS|Mountain of Madness|https://simpsonswiki.com/wiki/Mountain_of_Madness|8.0
Simpsoncalifragilisticexpila(Annoyed Grunt)cious|https://nohomers.net/forums/index.php?threads/rate-review-simpsoncalifragilisticexpiala-annoyed-grunt-cious.13597/|SIMPSONCALIFRAGILISTICEXPILA(ANNOYEDGRUNT)CIOUS|||
The Itchy and Scratchy and Poochie Show|https://nohomers.net/forums/index.php?threads/r-r-the-itchy-and-scratchy-and-poochie-show.20517/|ITCHYSCRATCHYPOOCHIESHOW|The Itchy & Scratchy & Poochie Show|https://simpsonswiki.com/wiki/The_Itchy_%26_Scratchy_%26_Poochie_Show|8.0
Homer's Phobia|https://nohomers.net/forums/index.php?threads/r-r-homers-phobia.18387/|HOMERSPHOBIA|Homer's Phobia|https://simpsonswiki.com/wiki/Homer%27s_Phobia|8.0
Brother From Another Series|https://nohomers.net/forums/index.php?threads/rate-and-review-brother-from-another-series.19736/|BRORFROMANORSERIES|Brother from Another Series|https://simpsonswiki.com/wiki/Brother_from_Another_Series|8.0
My Sister, My Sitter|https://nohomers.net/forums/index.php?threads/r-r-my-sister-my-sitter.19454/|MYSISTERMYSITTER|My Sister, My Sitter|https://simpsonswiki.com/wiki/My_Sister,_My_Sitter|8.0
Homer vs. the 18th Amendment|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-vs-the-eighteenth-amendment.18634/|HOMERVS18THAMENDMENT|||
Grade School Confidential|https://nohomers.net/forums/index.php?threads/r-r-grade-school-confidential.23498/|GRADESCHOOLCONFIDENTIAL|Grade School Confidential|https://simpsonswiki.com/wiki/Grade_School_Confidential|8.0
The Canine Mutiny|https://nohomers.net/forums/index.php?threads/r-r-the-canine-mutiny.20490/|CANINEMUTINY|The Canine Mutiny|https://simpsonswiki.com/wiki/The_Canine_Mutiny|8.0
The Old Man and the Lisa|https://nohomers.net/forums/index.php?threads/rate-and-review-the-old-man-and-the-lisa.21466/|OLDMANLISA|The Old Man and the Lisa|https://simpsonswiki.com/wiki/The_Old_Man_and_the_Lisa|8.0
In Marge We Trust|https://nohomers.net/forums/index.php?threads/rate-and-review-in-marge-we-trust.15764/|INMARGEWETRUST|In Marge We Trust|https://simpsonswiki.com/wiki/In_Marge_We_Trust|8.0
Homer's Enemy|https://nohomers.net/forums/index.php?threads/r-r-homers-enemy.19320/|HOMERSENEMY|Homer's Enemy|https://simpsonswiki.com/wiki/Homer%27s_Enemy|8.0
The Simpsons Spinoff Showcase|https://nohomers.net/forums/index.php?threads/rate-and-review-simpsons-spinoff-showcase.18631/|SIMPSONSPINOFFSHOWCASE|The Simpsons Spin-Off Showcase|https://simpsonswiki.com/wiki/The_Simpsons_Spin-Off_Showcase|8.0
The Secret War of Lisa Simpson|https://nohomers.net/forums/index.php?threads/the-secret-war-of-lisa-simpson.19584/|SECRETWAROFLISASIMPSON|The Secret War of Lisa Simpson|https://simpsonswiki.com/wiki/The_Secret_War_of_Lisa_Simpson|8.0
The City of New York vs. Homer Simpson|https://nohomers.net/forums/index.php?threads/r-r-the-city-of-new-york-vs-homer-simpson.20274/|CITYOFNEWYORKVSHOMERSIMPSON|The City of New York vs. Homer Simpson|https://simpsonswiki.com/wiki/The_City_of_New_York_vs._Homer_Simpson|9.0
The Principal and the Pauper|https://nohomers.net/forums/index.php?threads/rate-and-review-the-principal-and-the-pauper.18413/|PRINCIPALPAUPER|The Principal and the Pauper|https://simpsonswiki.com/wiki/The_Principal_and_the_Pauper|9.0
Lisa's Sax|https://nohomers.net/forums/index.php?threads/r-r-lisas-sax.18528/|LISASSAX|Lisa's Sax|https://simpsonswiki.com/wiki/Lisa%27s_Sax|9.0
Treehouse of Horror VIII|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-viii.14585/|TREEHOUSEOFHORRORVIII|Treehouse of Horror VIII|https://simpsonswiki.com/wiki/Treehouse_of_Horror_VIII|9.0
The Cartridge Family|https://nohomers.net/forums/index.php?threads/rate-and-review-the-cartridge-family.19542/|CARTRIDGEFAMILY|The Cartridge Family|https://simpsonswiki.com/wiki/The_Cartridge_Family|9.0
Bart Star|https://nohomers.net/forums/index.php?threads/rate-and-review-bart-star.18395/|BARTSTAR|Bart Star|https://simpsonswiki.com/wiki/Bart_Star|9.0
The Two Mrs. Nahasapeemapetilons|https://nohomers.net/forums/index.php?threads/r-r-the-two-mrs-nahasapeemapetilons.23503/|TWOMRSNAHASAPEEMAPETILONS|The Two Mrs. Nahasapeemapetilons|https://simpsonswiki.com/wiki/The_Two_Mrs._Nahasapeemapetilons|9.0
Lisa the Skeptic|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-skeptic.18549/|LISASKEPTIC|Lisa the Skeptic|https://simpsonswiki.com/wiki/Lisa_the_Skeptic|9.0
Realty Bites|https://nohomers.net/forums/index.php?threads/r-r-realty-bites.21193/|REALTYBITES|Realty Bites|https://simpsonswiki.com/wiki/Realty_Bites|9.0
All Singing, All Dancing|https://nohomers.net/forums/index.php?threads/all-singing-all-dancing.18585/|ALLSINGINGALLDANCING|All Singing, All Dancing|https://simpsonswiki.com/wiki/All_Singing,_All_Dancing|9.0
Miracle on Evergreen Terrace|https://nohomers.net/forums/index.php?threads/r-r-miracle-on-evergreen-terrace.19981/|MIRACLEONEVERGREENTERRACE|Miracle on Evergreen Terrace|https://simpsonswiki.com/wiki/Miracle_on_Evergreen_Terrace|9.0
Bart Carny|https://nohomers.net/forums/index.php?threads/r-r-bart-carny.18853/|BARTCARNY|Bart Carny|https://simpsonswiki.com/wiki/Bart_Carny|9.0
The Joy of Sect|https://nohomers.net/forums/index.php?threads/rate-review-the-joy-of-sect.22454/|JOYOFSECT|The Joy of Sect|https://simpsonswiki.com/wiki/The_Joy_of_Sect|9.0
Das Bus|https://nohomers.net/forums/index.php?threads/rate-review-das-bus.22803/|DASBUS|Das Bus|https://simpsonswiki.com/wiki/Das_Bus|9.0
The Last Temptation of Krust|https://nohomers.net/forums/index.php?threads/r-r-the-last-temptation-of-krust.14840/|LASTTEMPTATIONOFKRUST|The Last Temptation of Krust|https://simpsonswiki.com/wiki/The_Last_Temptation_of_Krust|9.0
Dumbbell Indemnity|https://nohomers.net/forums/index.php?threads/r-r-dumbbell-indemnity.18718/|DUMBBELLINDEMNITY|Dumbbell Indemnity|https://simpsonswiki.com/wiki/Dumbbell_Indemnity|9.0
Lisa the Simpson|https://nohomers.net/forums/index.php?threads/r-r-lisa-the-simpson.19654/|LISASIMPSON|Lisa the Simpson|https://simpsonswiki.com/wiki/Lisa_the_Simpson|9.0
This Little Wiggy|https://nohomers.net/forums/index.php?threads/r-r-this-little-wiggy.21210/|THISLITTLEWIGGY|This Little Wiggy|https://simpsonswiki.com/wiki/This_Little_Wiggy|9.0
Simpson Tide|https://nohomers.net/forums/index.php?threads/rate-review-simpson-tide.17459/|SIMPSONTIDE|Simpson Tide|https://simpsonswiki.com/wiki/Simpson_Tide|9.0
The Trouble With Trillions|https://nohomers.net/forums/index.php?threads/r-r-trouble-with-trillions.15593/|TROUBLEWITHTRILLIONS|The Trouble with Trillions|https://simpsonswiki.com/wiki/The_Trouble_with_Trillions|9.0
Girly Edition|https://nohomers.net/forums/index.php?threads/girly-edition-do-you-like-it-or-hate-it.22361/|GIRLYEDITION|Girly Edition|https://simpsonswiki.com/wiki/Girly_Edition|9.0
Trash of the Titans|https://nohomers.net/forums/index.php?threads/r-r-trash-of-the-titans.19779/|TRASHOFTITANS|Trash of the Titans|https://simpsonswiki.com/wiki/Trash_of_the_Titans|9.0
King of the Hill|https://nohomers.net/forums/index.php?threads/rate-and-review-king-of-the-hill.18405/|KINGOFHILL|King of the Hill|https://simpsonswiki.com/wiki/King_of_the_Hill|9.0
Lost Our Lisa|https://nohomers.net/forums/index.php?threads/r-r-lost-our-lisa.18599/|LOSTOURLISA|Lost Our Lisa|https://simpsonswiki.com/wiki/Lost_Our_Lisa|9.0
Natural Born Kissers|https://nohomers.net/forums/index.php?threads/r-r-natural-born-kissers.18195/|NATURALBORNKISSERS|Natural Born Kissers|https://simpsonswiki.com/wiki/Natural_Born_Kissers|9.0
Lard of the Dance|https://nohomers.net/forums/index.php?threads/rate-and-review-lard-of-the-dance.22144/|LARDOFDANCE|Lard of the Dance|https://simpsonswiki.com/wiki/Lard_of_the_Dance|10.0
The Wizard of Evergreen Terrace|https://nohomers.net/forums/index.php?threads/r-r-wizard-of-evergreen-terrance.19268/|WIZARDOFEVERGREENTERRACE|The Wizard of Evergreen Terrace|https://simpsonswiki.com/wiki/The_Wizard_of_Evergreen_Terrace|10.0
Bart the Mother|https://nohomers.net/forums/index.php?threads/rate-and-review-bart-the-mother.22145/|BARTMOR|Bart the Mother|https://simpsonswiki.com/wiki/Bart_the_Mother|10.0
Treehouse of Horror IX|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-9.18856/|TREEHOUSEOFHORRORIX|Treehouse of Horror IX|https://simpsonswiki.com/wiki/Treehouse_of_Horror_IX|10.0
When You Dish Upon a Star|https://nohomers.net/forums/index.php?threads/rate-or-review-when-you-dish-upon-a-star.22309/|WHENYOUDISHUPONASTAR|When You Dish Upon a Star|https://simpsonswiki.com/wiki/When_You_Dish_Upon_a_Star|10.0
D'oh-in' in the Wind|https://nohomers.net/forums/index.php?threads/rate-review-doh-in-the-wind.22508/|(ANNOYEDGRUNT)ININWIND|D'oh-in' in the Wind|https://simpsonswiki.com/wiki/D%27oh-in%27_in_the_Wind|10.0
Lisa Gets An 'A'|https://nohomers.net/forums/index.php?threads/r-r-lisa-gets-an-a.19354/|LISAGETSANA|"Lisa Gets an ""A"""|https://simpsonswiki.com/wiki/Lisa_Gets_an_%22A%22|10.0
"Homer Simpson in: ""Kidney Trouble"""|https://nohomers.net/forums/index.php?threads/homer-simpson-in-kidney-trouble.22284/|HOMERSIMPSONINKIDNEYTROUBLE|"Homer Simpson in: ""Kidney Trouble"""|https://simpsonswiki.com/wiki/Homer_Simpson_in:_%22Kidney_Trouble%22|10.0
Mayored to the Mob|https://nohomers.net/forums/index.php?threads/r-r-mayored-to-the-mob.20133/|MAYOREDTOMOB|Mayored to the Mob|https://simpsonswiki.com/wiki/Mayored_to_the_Mob|10.0
Viva Ned Flanders|https://nohomers.net/forums/index.php?threads/viva-ned-flanders.19609/|VIVANEDFLERS|Viva Ned Flanders|https://simpsonswiki.com/wiki/Viva_Ned_Flanders|10.0
Wild Barts Can't Be Broken|https://nohomers.net/forums/index.php?threads/r-r-wild-barts-cant-be-broken.15477/|WILDBARTSCANTBEBROKEN|Wild Barts Can't Be Broken|https://simpsonswiki.com/wiki/Wild_Barts_Can%27t_Be_Broken|10.0
Sunday Cruddy Sunday|https://nohomers.net/forums/index.php?threads/rate-and-review-sunday-cruddy-sunday.21026/|SUNDAYCRUDDYSUNDAY|Sunday, Cruddy Sunday|https://simpsonswiki.com/wiki/Sunday,_Cruddy_Sunday|10.0
Homer to the Max|https://nohomers.net/forums/index.php?threads/rate-review-homer-to-the-max.23047/|HOMERTOMAX|Homer to the Max|https://simpsonswiki.com/wiki/Homer_to_the_Max|10.0
I'm With Cupid|https://nohomers.net/forums/index.php?threads/im-with-cupid-best-season-10-episode.23008/|IMWITHCUPID|I'm with Cupid|https://simpsonswiki.com/wiki/I%27m_with_Cupid|10.0
"Marge Simpson in: ""Screaming Yellow Honkers"""|https://nohomers.net/forums/index.php?threads/rate-review-marge-simpson-in-screaming-yellow-honkers.11451/|MARGESIMPSONINSCREAMINGYELLOWHONKERS|"Marge Simpson in: ""Screaming Yellow Honkers"""|https://simpsonswiki.com/wiki/Marge_Simpson_in:_%22Screaming_Yellow_Honkers%22|10.0
Make Room for Lisa|https://nohomers.net/forums/index.php?threads/rate-review-make-room-for-lisa.13041/|MAKEROOMFORLISA|Make Room for Lisa|https://simpsonswiki.com/wiki/Make_Room_for_Lisa|10.0
Maximum Homerdrive|https://nohomers.net/forums/index.php?threads/r-r-maximum-homerdrive.16618/|MAXIMUMHOMERDRIVE|Maximum Homerdrive|https://simpsonswiki.com/wiki/Maximum_Homerdrive|10.0
Simpson Bible Stories|https://nohomers.net/forums/index.php?threads/rate-review-simpson-bible-stories.7640/|SIMPSONBIBLESTORIES|Simpsons Bible Stories|https://simpsonswiki.com/wiki/Simpsons_Bible_Stories|10.0
Mom And Pop Art|https://nohomers.net/forums/index.php?threads/r-r-mom-pop-art.20071/|MOMPOPART|Mom and Pop Art|https://simpsonswiki.com/wiki/Mom_and_Pop_Art|10.0
The Old Man And The 'C' Student|https://nohomers.net/forums/index.php?threads/r-r-the-old-man-and-the-c-student.20097/|OLDMANCSTUDENT|"The Old Man and the ""C"" Student"|https://simpsonswiki.com/wiki/The_Old_Man_and_the_%22C%22_Student|10.0
Monty Can't Buy Me Love|https://nohomers.net/forums/index.php?threads/rate-review-monty-cant-buy-me-love.11003/|MONTYCANTBUYMELOVE|Monty Can't Buy Me Love|https://simpsonswiki.com/wiki/Monty_Can%27t_Buy_Me_Love|10.0
They Saved Lisa's Brain|https://nohomers.net/forums/index.php?threads/r-r-they-saved-lisas-brain.21862/|YSAVEDLISASBRAIN|They Saved Lisa's Brain|https://simpsonswiki.com/wiki/They_Saved_Lisa%27s_Brain|10.0
Thirty Minutes Over Tokyo|https://nohomers.net/forums/index.php?threads/rate-and-review-thirty-minutes-over-tokyo.22898/|THIRTYMINUTESOVERTOKYO|Thirty Minutes Over Tokyo|https://simpsonswiki.com/wiki/Thirty_Minutes_Over_Tokyo|10.0
Beyond Blunderdome|https://nohomers.net/forums/index.php?threads/r-r-beyond-blunderdome.18732/|BEYONDBLUNDERDOME|Beyond Blunderdome|https://simpsonswiki.com/wiki/Beyond_Blunderdome|11.0
Brother's Little Helper|https://nohomers.net/forums/index.php?threads/rate-review-brothers-little-helper.13806/|BRORSLITTLEHELPER|Brother's Little Helper|https://simpsonswiki.com/wiki/Brother%27s_Little_Helper|11.0
Guess Who's Coming to Criticize Dinner|https://nohomers.net/forums/index.php?threads/rate-review-guess-whos-coming-to-criticize-dinner.19407/|GUESSWHOSCOMINGTOCRITICIZEDINNER|Guess Who's Coming to Criticize Dinner?|https://simpsonswiki.com/wiki/Guess_Who%27s_Coming_to_Criticize_Dinner%3F|11.0
Treehouse of Horror X|https://nohomers.net/forums/index.php?threads/treehouse-of-horror-ten.18468/|TREEHOUSEOFHORRORX|Treehouse of Horror X|https://simpsonswiki.com/wiki/Treehouse_of_Horror_X|11.0
E-I-E-I-D'oh|https://nohomers.net/forums/index.php?threads/rate-and-review-e-i-e-i-doh.23084/|EIEI(ANNOYEDGRUNT)|E-I-E-I-(Annoyed Grunt)|https://simpsonswiki.com/wiki/E-I-E-I-(Annoyed_Grunt)|11.0
Hello Gutter Hello Fadder|https://nohomers.net/forums/index.php?threads/r-r-hello-gutter-hello-fadder.16183/|HELLOGUTTERHELLOFADDER|Hello Gutter, Hello Fadder|https://simpsonswiki.com/wiki/Hello_Gutter,_Hello_Fadder|11.0
Eight Misbehavin'|https://nohomers.net/forums/index.php?threads/rate-and-review-eight-misbehavin.18613/|EIGHTMISBEHAVIN|Eight Misbehavin'|https://simpsonswiki.com/wiki/Eight_Misbehavin%27|11.0
Take My Wife, Sleaze|https://nohomers.net/forums/index.php?threads/r-r-take-my-wife-sleaze.21769/|TAKEMYWIFESLEAZE|Take My Wife, Sleaze|https://simpsonswiki.com/wiki/Take_My_Wife,_Sleaze|11.0
Grift of the Magi|https://nohomers.net/forums/index.php?threads/r-r-grift-of-the-magi.13706/|GRIFTOFMAGI|Grift of the Magi|https://simpsonswiki.com/wiki/Grift_of_the_Magi|11.0
Little Big Mom|https://nohomers.net/forums/index.php?threads/r-r-little-big-mom.19973/|LITTLEBIGMOM|Little Big Mom|https://simpsonswiki.com/wiki/Little_Big_Mom|11.0
Faith Off|https://nohomers.net/forums/index.php?threads/r-r-faith-off.21786/|FAITHOFF|Faith Off|https://simpsonswiki.com/wiki/Faith_Off|11.0
The Mansion Family|https://nohomers.net/forums/index.php?threads/rate-and-review-the-mansion-family-babf08.21802/|MANSIONFAMILY|The Mansion Family|https://simpsonswiki.com/wiki/The_Mansion_Family|11.0
Saddlesore Galactica|https://nohomers.net/forums/index.php?threads/rate-and-review-saddlesore-galactica-babf09.21816/|SADDLESOREGALACTICA|Saddlesore Galactica|https://simpsonswiki.com/wiki/Saddlesore_Galactica|11.0
Alone Again, Natura-diddily|https://nohomers.net/forums/index.php?threads/rate-review-alone-again-natura-diddly.22073/|ALONEAGAINNATURADIDDILY|Alone Again, Natura-Diddily|https://simpsonswiki.com/wiki/Alone_Again,_Natura-Diddily|11.0
Missionary: Impossible|https://nohomers.net/forums/index.php?threads/rate-and-review-missionary-impossible.19083/|MISSIONARYIMPOSSIBLE|Missionary: Impossible|https://simpsonswiki.com/wiki/Missionary:_Impossible|11.0
Pygmoelian|https://nohomers.net/forums/index.php?threads/r-r-pygmoelian.18733/|PYGMOELIAN|Pygmoelian|https://simpsonswiki.com/wiki/Pygmoelian|11.0
Bart to the Future|https://nohomers.net/forums/index.php?threads/r-r-bart-to-the-future.22321/|BARTTOFUTURE|Bart to the Future|https://simpsonswiki.com/wiki/Bart_to_the_Future|11.0
Days of Wine and D'ohses|https://nohomers.net/forums/index.php?threads/rate-review-days-of-wine-and-dohses.21882/|DAYSOFWINE(ANNOYEDGRUNT)SES|Days of Wine and D'oh'ses|https://simpsonswiki.com/wiki/Days_of_Wine_and_D%27oh%27ses|11.0
Last Tap Dance in Springfield|https://nohomers.net/forums/index.php?threads/rate-and-review-last-tap-dance-in-springfield.23093/|LASTTAPDANCEINSPRINGFIELD|Last Tap Dance in Springfield|https://simpsonswiki.com/wiki/Last_Tap_Dance_in_Springfield|11.0
Kill the Alligator and Run|https://nohomers.net/forums/index.php?threads/rate-review-kill-the-alligator-and-run.22774/|KILLALLIGATORRUN|Kill the Alligator and Run|https://simpsonswiki.com/wiki/Kill_the_Alligator_and_Run|11.0
It's a Mad, Mad, Mad, Mad, Mad Marge|https://nohomers.net/forums/index.php?threads/its-that-time-again-2009-edition-r-r-its-a-mad-mad-mad-mad-marge.22928/|ITSAMADMADMADMADMADMARGE|||
Behind the Laughter|https://nohomers.net/forums/index.php?threads/r-r-behind-the-laughter.21954/|BEHINDLAUGHTER|Behind the Laughter|https://simpsonswiki.com/wiki/Behind_the_Laughter|11.0
A Tale of Two Springfields|https://nohomers.net/forums/index.php?threads/r-r-a-tale-of-two-springfields.17040/|ATALEOFTWOSPRINGFIELDS|A Tale of Two Springfields|https://simpsonswiki.com/wiki/A_Tale_of_Two_Springfields|12.0
Treehouse of Horror XI|https://nohomers.net/forums/index.php?threads/r-r-thohxi.23174/|TREEHOUSEOFHORRORXI|Treehouse of Horror XI|https://simpsonswiki.com/wiki/Treehouse_of_Horror_XI|12.0
Insane Clown Poppy|https://nohomers.net/forums/index.php?threads/r-r-insane-clown-poppy.23227/|INSANECLOWNPOPPY|Insane Clown Poppy|https://simpsonswiki.com/wiki/Insane_Clown_Poppy|12.0
Lisa the Treehugger|https://nohomers.net/forums/index.php?threads/r-r-lisa-the-treehugger.21282/|LISATREEHUGGER|Lisa the Tree Hugger|https://simpsonswiki.com/wiki/Lisa_the_Tree_Hugger|12.0
Homer vs Dignity|https://nohomers.net/forums/index.php?threads/r-r-homer-vs-dignity.20108/|HOMERVSDIGNITY|Homer vs. Dignity|https://simpsonswiki.com/wiki/Homer_vs._Dignity|12.0
